graph,model,alpha,r2,p_value,ci_low,ci_high
GLOBAL,lambda2,0.08686391983518814,0.055584613023242815,0.20975761898990336,-0.045759649823903084,0.21948748949427938
GLOBAL,kirchhoff,-0.3107205156380425,0.2983526784720342,0.0017924967958124756,-0.48721919083481874,-0.13422184044126623
cycle,lambda2,0.5421251874713975,0.7857871089732421,0.04514362735275422,0.22181896127586975,0.8624314136669252
cycle,kirchhoff,-0.5409427401819041,0.7866513304717367,0.04485673585874693,-0.8597297156498211,-0.22215576471398718
complete,lambda2,-1.3784799936542511,0.9931496799250898,0.00024112933260809184,-1.5080319542757878,-1.2489280330327144
complete,kirchhoff,-55.14072032849194,0.9323042233461146,0.007632919104668915,-71.95467378797848,-38.3267668690054
erdos_renyi,lambda2,-0.624005968758788,0.8755910629394003,0.01936922735506135,-0.8901760992562296,-0.35783583826134635
erdos_renyi,kirchhoff,2.5013674004570516,0.45240597398357646,0.2134807022190643,-0.6127724691864911,5.615507270100594
path,lambda2,0.18927675467128688,0.30922443892471363,0.33038095373595816,-0.13085171754695193,0.5094052268895257
path,kirchhoff,-0.1892001183529695,0.30969188383477475,0.3299364201035957,-0.5088491739013131,0.13044893719537418
star,lambda2,1045873952539525.6,0.29893777454049214,0.3402883231674821,-766562031570505.6,2858309936649557.0
star,kirchhoff,-1.1661784519192704,0.9687558166737219,0.0023662646697171393,-1.4031727425126304,-0.9291841613259104
barbell,lambda2,1.006436557141858,0.9756036277097019,0.0016292421295182491,0.8263390215055245,1.1865340927781918
barbell,kirchhoff,-1.1031444576684315,0.9755232470961352,0.0016373409858231383,-1.3008805382500122,-0.9054083770868508
